ID,Package City
1,Abu Dhabi
2,Alexandria
3,Amboseli
4,Amman
5,Amsterdom
6,Amstetten
7,Antalya
8,Athens
9,Auckland
162,Austin
10,Bali
11,Bangkok
12,Barcelona
13,Bay of Islands
14,Beijing
15,Belfast
16,Berlin
17,Birmingham
160,Boston
18,Brisbane
19,Brussels
20,Budapest
21,Buenos Aires
22,Cairo
23,Calgary
24,Cambridge
25,Capetown
26,Cappadocia
27,Cardiff
28,Chiangmai
29,Christchurch
30,Colombo
31,Copenhagen
163,Dallas
32,Dambula
33,Denpasar
34,Dubai
36,Dublin
161,Dunedin
35,Durban
37,Dusseldorf
38,East London
39,Edinburgh
40,Florence
41,Frankfurt
42,Galle
43,Geneva
44,George Town
45,Glasgow
46,Gold Coast
47,Granda
48,Guanghou
49,Hamburg
50,Hanoi
51,Helsinki
52,Hong Kong
53,Honolulu
54,Innsbruck
55,Interlaken
56,Inverness
57,Istanbul
58,Jakarta
59,Jeju Island
60,Johanesburg
61,Kamloops
62,Kandy
63,Kathmandu
64,Knysna
65,Koh Samui
66,Kota Kinabalu
67,Krabi
68,Krakow
69,Kruger National Park
70,Kuala Terengganu
71,Kulalampur
72,Lake Louise
73,Lake Nakuru
74,Langkawi
75,Las Vegas
76,Leeds
77,Liberec
78,Lisbon
79,Liverpool
80,London
81,Los Angles
82,Lugano
83,Lugerne
84,Macau
85,Madrid
86,Male
87,Manas Sorovar
88,Manchester
89,Manila
90,Masai Mara
91,Melbourne
159,Mexico City
92,Milan
93,Montreal
94,Moscow
95,Munich
96,Muscat
97,Mykonos
98,Nairobi
99,Namyangju
164,New York City
100,Niagra Falls
101,Nice
102,Notingham
103,Nuwara Eliya
104,Orlando
105,Oslo
106,Ottawa
107,Oxford
108,Pangkor Island
109,Paris
110,Paris
111,Paro
112,Pataya
113,Penang
114,Petra
115,Phi Phi Island
116,Philadelphia
117,Phuket
118,Pisa
119,Plymouth
120,Pokhara
121,Prague
122,Praslin
123,Queenstown
124,Rio de Janeiro
125,Rome
126,Rotorua
127,Salzburg
158,San Antonio
128,San Fransisco
129,Santorini
130,Sao Paolo
131,Selville
132,Sentosa Island
133,Seoul
134,Shanghai
135,Sharjah
136,Shenzhen
137,Siem Reap
138,Singapore City
139,Southampton
140,Stockholm
141,Stuttgart
142,Sun City
143,Sydney
157,Tampa
144,Tashkent
145,Thimpu
146,Toronto
165,Paris
166,Paris
167,Paris
168,Paris
169,Paris
170,London
171,London
172,London
173,London
174,London
175,London
176,London
177,London
178,London
179,London
180,Geneva
181,Geneva
182,Geneva
183,Geneva
184,Geneva
185,Geneva
186,Geneva
187,Glasgow
188,Glasgow
189,Glasgow
190,Glasgow
191,Glasgow
192,Glasgow
193,Glasgow
194,Glasgow
195,Glasgow
196,Glasgow
197,Glasgow
198,Dubai
199,Dubai
200,Dubai
147,Truro
148,Vancouver
149,Venice
150,Vienna
151,Warsaw
152,Washinton D.C.
153,Wellington
154,York
155,Zermatt
156,Zurich
